"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Director","Actor"
1,"CODA","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.",111,"Comedy",8,74,94825,"Sian Heder","Emilia Jones"
2,"Spider-Man: No Way Home","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",148,"Action",8.5,71,584127,"Jon Watts","Tom Holland"
3,"Dune: Part One","A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.",155,"Action",8.1,74,541938,"Denis Villeneuve","Timothée Chalamet"
4,"The Power of the Dog","Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.",126,"Drama",6.9,89,151841,"Jane Campion","Benedict Cumberbatch"
5,"Nightmare Alley","A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychiatrist bent on exposing him.",150,"Crime",7.1,70,109240,"Guillermo del Toro","Bradley Cooper"
6,"Encanto","A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.",102,"Animation",7.3,75,183612,"Jared Bush","Stephanie Beatriz"
7,"Sing 2","Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.",110,"Animation",7.5,49,43688,"Garth Jennings","Matthew McConaughey"
8,"West Side Story","An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",156,"Crime",7.3,85,65990,"Steven Spielberg","Ansel Elgort"
9,"King Richard","A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.",144,"Biography",7.5,76,83075,"Reinaldo Marcus Green","Will Smith"
10,"Licorice Pizza","The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",133,"Comedy",7.4,90,73747,"Paul Thomas Anderson","Alana Haim"
11,"The King's Man","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.",131,"Action",6.3,44,111547,"Matthew Vaughn","Ralph Fiennes"
12,"Eternals","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",156,"Action",6.4,52,288054,"Chloé Zhao","Gemma Chan"
13,"Verdens verste menneske","The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",128,"Comedy",7.9,90,36727,"Joachim Trier","Renate Reinsve"
